"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-12,2026-01-19,,0,"7-day click or 1-day view",,,7182,1.082707,,0,0,47.58,,7776,6.118827,,,,,115,1.478909,0.413739,,
2026-01-12,2026-01-19,MVP_Micro_Test_2026_01,inactive,"7-day click or 1-day view",104,actions:omni_landing_page_view,7182,1.082707,0.4575,8,Daily,47.58,Ongoing,7776,6.118827,102,,0.466471,1.311728,115,1.478909,0.413739,104,0.4575
